"Date","FromCurrencyId","ToCurrencyId","ToCurrencySysname","EuroRate"
2024-10-29,2,11,BRL,0.1623034
2024-10-29,2,12,PEN,0.2488000
2024-10-29,2,13,CLP,0.0009764
2024-10-29,2,14,INR,0.0110412
2024-10-29,2,15,NZD,0.5532197
2024-10-29,2,16,ALL,0.0094000
2024-10-29,2,17,COP,0.0002000
2024-10-28,2,1,USD,0.9243853
2024-10-28,2,2,EUR,1.0000000
2024-10-28,2,3,GBP,1.2006243
2024-10-28,2,4,JPY,0.0060540
2024-10-28,2,5,AUD,0.6107989
2024-10-28,2,6,MXN,0.0462485
2024-10-28,2,7,SEK,0.0871764
2024-10-28,2,8,NOK,0.0839490
2024-10-28,2,9,HUF,0.0024702
2024-10-28,2,10,CAD,0.6653360
2024-10-28,2,11,BRL,0.1624695
2024-10-28,2,12,PEN,0.2488000
2024-10-28,2,13,CLP,0.0009764
2024-10-28,2,14,INR,0.0109941
2024-10-28,2,15,NZD,0.5537405
2024-10-28,2,16,ALL,0.0094000
2024-10-28,2,17,COP,0.0002000
2024-10-27,2,1,USD,0.9237875
2024-10-27,2,2,EUR,1.0000000
2024-10-27,2,3,GBP,1.1996449
2024-10-27,2,4,JPY,0.0060809
2024-10-27,2,5,AUD,0.6130832
2024-10-27,2,6,MXN,0.0466401
2024-10-27,2,7,SEK,0.0873553
2024-10-27,2,8,NOK,0.0846059
2024-10-27,2,9,HUF,0.0024711
2024-10-27,2,10,CAD,0.6671559
2024-10-27,2,11,BRL,0.1628134
2024-10-27,2,12,PEN,0.2488000
2024-10-27,2,13,CLP,0.0009764
2024-10-27,2,14,INR,0.0109858
2024-10-27,2,15,NZD,0.5547850
2024-10-27,2,16,ALL,0.0094000
2024-10-27,2,17,COP,0.0002000
2024-10-26,2,1,USD,0.9237875
2024-10-26,2,2,EUR,1.0000000
2024-10-26,2,3,GBP,1.1996449
2024-10-26,2,4,JPY,0.0060809
2024-10-26,2,5,AUD,0.6130832
2024-10-26,2,6,MXN,0.0466401
2024-10-26,2,7,SEK,0.0873553
2024-10-26,2,8,NOK,0.0846059
2024-10-26,2,9,HUF,0.0024711
2024-10-26,2,10,CAD,0.6671559
2024-10-26,2,11,BRL,0.1628134
2024-10-26,2,12,PEN,0.2488000
2024-10-26,2,13,CLP,0.0009764
2024-10-26,2,14,INR,0.0109858
2024-10-26,2,15,NZD,0.5547850
2024-10-26,2,16,ALL,0.0094000
2024-10-26,2,17,COP,0.0002000
2024-10-25,2,1,USD,0.9237875
2024-10-25,2,2,EUR,1.0000000
2024-10-25,2,3,GBP,1.1996449
2024-10-25,2,4,JPY,0.0060809
2024-10-25,2,5,AUD,0.6130832
2024-10-25,2,6,MXN,0.0466401
2024-10-25,2,7,SEK,0.0873553
2024-10-25,2,8,NOK,0.0846059
2024-10-25,2,9,HUF,0.0024711
2024-10-25,2,10,CAD,0.6671559
2024-10-25,2,11,BRL,0.1628134
2024-10-25,2,12,PEN,0.2488000
2024-10-25,2,13,CLP,0.0009764
2024-10-25,2,14,INR,0.0109858
2024-10-25,2,15,NZD,0.5547850
2024-10-25,2,16,ALL,0.0094000
2024-10-25,2,17,COP,0.0002000
2024-10-24,2,1,USD,0.9258402
2024-10-24,2,2,EUR,1.0000000
2024-10-24,2,3,GBP,1.2017786
2024-10-24,2,4,JPY,0.0060931
2024-10-24,2,5,AUD,0.6159911
2024-10-24,2,6,MXN,0.0468018
2024-10-24,2,7,SEK,0.0875733
2024-10-24,2,8,NOK,0.0846346
2024-10-24,2,9,HUF,0.0024818
2024-10-24,2,10,CAD,0.6701515
